Query,IndexStrategy1,IndexStrategy2,t_stat,p_value
query_3,single_column_indexes,expression_indexes,-2.96478292522051,0.004534866073030899
query_3,single_column_indexes,covering_indexes,-4.541669674735884,4.6555490352687664e-05
query_3,composite_indexes,partial_indexes,-0.15543461600316894,0.8770218344131961
query_3,composite_indexes,expression_indexes,-1.9062547959831089,0.06165598519378739
query_3,composite_indexes,covering_indexes,-3.605258759823549,0.0006797623896008606
query_3,partial_indexes,expression_indexes,-1.825286840029901,0.07311962836443214
query_3,partial_indexes,covering_indexes,-3.5755349623817363,0.0007657013356571729
query_3,expression_indexes,covering_indexes,-2.15964432824397,0.03556130197041313
query_4,no_indexes,single_column_indexes,524.8206397261408,3.8815195193437665e-60
query_4,no_indexes,composite_indexes,452.54413074963315,2.0243854764628746e-59
query_4,no_indexes,partial_indexes,3.5408373016256736,0.0008305327050691044
query_4,no_indexes,expression_indexes,1.3745896611414743,0.17482485716532417
query_4,no_indexes,covering_indexes,-1.2765313106171816,0.20874352774966626
query_4,single_column_indexes,composite_indexes,-407.52186095406734,2.0065226570279558e-89
query_4,single_column_indexes,partial_indexes,-686.2923790874161,2.7046119841934165e-64
query_4,single_column_indexes,expression_indexes,-414.19247591581643,8.702999177107784e-57
query_4,single_column_indexes,covering_indexes,-260.1079306655563,1.409847421535936e-50
query_4,composite_indexes,partial_indexes,-588.473279742346,1.7019226428824537e-64
query_4,composite_indexes,expression_indexes,-357.69911859034636,1.2873226857606798e-55
query_4,composite_indexes,covering_indexes,-225.47394216946293,5.2474427258658146e-49
query_4,partial_indexes,expression_indexes,-1.5097026050041022,0.1377583093618519
query_4,partial_indexes,covering_indexes,-3.377464314703295,0.0017383612852287912
query_4,expression_indexes,covering_indexes,-2.1329056145936707,0.03802343894240942
query_5,no_indexes,single_column_indexes,11.320335186525956,1.8674416875946558e-12
query_5,no_indexes,composite_indexes,9.583479403505292,1.0317552585342684e-10
query_5,no_indexes,partial_indexes,11.424282147704014,9.83157042398372e-13
query_5,no_indexes,expression_indexes,3.849516581854298,0.00032687557482617236
query_5,no_indexes,covering_indexes,-1.017507886745294,0.31376682838183484
query_5,single_column_indexes,composite_indexes,-7.693827055377402,2.0008026552290226e-10
query_5,single_column_indexes,partial_indexes,0.7508879665851412,0.45592631268017003
query_5,single_column_indexes,expression_indexes,-9.471952191901325,7.997576260240254e-11
query_5,single_column_indexes,covering_indexes,-18.539098834289366,7.755426758780147e-19
query_5,composite_indexes,partial_indexes,7.464058345452143,6.795366373039861e-10
query_5,composite_indexes,expression_indexes,-7.012818344381647,5.906041195217397e-08
query_5,composite_indexes,covering_indexes,-15.974430829745206,6.438071860582006e-17
query_5,partial_indexes,expression_indexes,-9.59521726346263,3.2240268639382873e-11
query_5,partial_indexes,covering_indexes,-18.505155794668013,1.6048426221949704e-19
query_5,expression_indexes,covering_indexes,-6.140158687480762,8.0538027315722e-08
query_6,no_indexes,single_column_indexes,5.4555193856029565,1.0566883157543523e-06
query_6,no_indexes,composite_indexes,7.5627554324225805,3.3357492054354107e-10
query_6,no_indexes,partial_indexes,13.498710314965516,1.5090097043428502e-19
query_6,no_indexes,expression_indexes,-5.624997572165138,4.177133277101938e-06
query_6,no_indexes,covering_indexes,-7.1802911795176,7.912650207750818e-09
query_6,single_column_indexes,composite_indexes,2.112760195966887,0.038936613719241384
query_6,single_column_indexes,partial_indexes,8.213026987321681,2.7119370011730963e-11
query_6,single_column_indexes,expression_indexes,-6.398822208933245,4.907258228480897e-07
query_6,single_column_indexes,covering_indexes,-10.576865976541185,2.296729673734327e-13
