Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_7,11,5071.694,High Memory,no_indexes,Medium
query_7,12,5037.418,High Memory,no_indexes,Medium
query_7,13,5170.914,High Memory,no_indexes,Medium
query_7,14,5153.839,High Memory,no_indexes,Medium
query_7,15,5192.846,High Memory,no_indexes,Medium
query_7,16,4956.838,High Memory,no_indexes,Medium
query_7,17,5137.131,High Memory,no_indexes,Medium
query_7,18,5077.751,High Memory,no_indexes,Medium
query_7,19,5143.203,High Memory,no_indexes,Medium
query_7,20,5128.663,High Memory,no_indexes,Medium
query_7,21,5132.087,High Memory,no_indexes,Medium
query_7,22,5155.716,High Memory,no_indexes,Medium
query_7,23,5184.549,High Memory,no_indexes,Medium
query_7,24,5047.098,High Memory,no_indexes,Medium
query_7,25,5128.663,High Memory,no_indexes,Medium
query_7,26,5018.104,High Memory,no_indexes,Medium
query_7,27,4980.678,High Memory,no_indexes,Medium
query_7,28,5164.05,High Memory,no_indexes,Medium
query_7,29,5148.344,High Memory,no_indexes,Medium
query_7,30,5158.032,High Memory,no_indexes,Medium
query_1,1,104.921,High Memory,single_column_indexes,Medium
query_1,2,106.084,High Memory,single_column_indexes,Medium
query_1,3,104.921,High Memory,single_column_indexes,Medium
query_1,4,106.019,High Memory,single_column_indexes,Medium
query_1,5,104.724,High Memory,single_column_indexes,Medium
query_1,6,106.402,High Memory,single_column_indexes,Medium
query_1,7,104.449,High Memory,single_column_indexes,Medium
query_1,8,105.02,High Memory,single_column_indexes,Medium
query_1,9,104.72,High Memory,single_column_indexes,Medium
query_1,10,104.058,High Memory,single_column_indexes,Medium
query_1,11,104.359,High Memory,single_column_indexes,Medium
query_1,12,105.151,High Memory,single_column_indexes,Medium
query_1,13,106.063,High Memory,single_column_indexes,Medium
query_1,14,104.347,High Memory,single_column_indexes,Medium
query_1,15,106.435,High Memory,single_column_indexes,Medium
query_1,16,105.703,High Memory,single_column_indexes,Medium
query_1,17,104.408,High Memory,single_column_indexes,Medium
query_1,18,104.912,High Memory,single_column_indexes,Medium
query_1,19,104.604,High Memory,single_column_indexes,Medium
query_1,20,104.122,High Memory,single_column_indexes,Medium
query_1,21,104.694,High Memory,single_column_indexes,Medium
query_1,22,106.378,High Memory,single_column_indexes,Medium
query_1,23,106.609,High Memory,single_column_indexes,Medium
query_1,24,104.865,High Memory,single_column_indexes,Medium
query_1,25,104.466,High Memory,single_column_indexes,Medium
query_1,26,104.929,High Memory,single_column_indexes,Medium
query_1,27,106.6,High Memory,single_column_indexes,Medium
query_1,28,104.384,High Memory,single_column_indexes,Medium
query_1,29,106.095,High Memory,single_column_indexes,Medium
query_1,30,104.649,High Memory,single_column_indexes,Medium
query_2,1,6.45,High Memory,single_column_indexes,Medium
query_2,2,5.978,High Memory,single_column_indexes,Medium
query_2,3,6.129,High Memory,single_column_indexes,Medium
query_2,4,5.772,High Memory,single_column_indexes,Medium
query_2,5,5.876,High Memory,single_column_indexes,Medium
query_2,6,6.199,High Memory,single_column_indexes,Medium
query_2,7,6.096,High Memory,single_column_indexes,Medium
query_2,8,5.894,High Memory,single_column_indexes,Medium
query_2,9,5.975,High Memory,single_column_indexes,Medium
query_2,10,5.881,High Memory,single_column_indexes,Medium
query_2,11,5.882,High Memory,single_column_indexes,Medium
query_2,12,6.354,High Memory,single_column_indexes,Medium
query_2,13,6.044,High Memory,single_column_indexes,Medium
query_2,14,5.78,High Memory,single_column_indexes,Medium
query_2,15,6.089,High Memory,single_column_indexes,Medium
query_2,16,6.06,High Memory,single_column_indexes,Medium
query_2,17,6.059,High Memory,single_column_indexes,Medium
query_2,18,6.081,High Memory,single_column_indexes,Medium
query_2,19,5.787,High Memory,single_column_indexes,Medium
query_2,20,6.13,High Memory,single_column_indexes,Medium
query_2,21,6.059,High Memory,single_column_indexes,Medium
query_2,22,6.123,High Memory,single_column_indexes,Medium
query_2,23,5.788,High Memory,single_column_indexes,Medium
query_2,24,5.797,High Memory,single_column_indexes,Medium
query_2,25,6.218,High Memory,single_column_indexes,Medium
query_2,26,6.251,High Memory,single_column_indexes,Medium
query_2,27,6.057,High Memory,single_column_indexes,Medium
query_2,28,6.393,High Memory,single_column_indexes,Medium
query_2,29,6.117,High Memory,single_column_indexes,Medium
query_2,30,6.026,High Memory,single_column_indexes,Medium
query_3,1,19.773,High Memory,single_column_indexes,Medium
query_3,2,20.129,High Memory,single_column_indexes,Medium
query_3,3,20.128,High Memory,single_column_indexes,Medium
query_3,4,19.773,High Memory,single_column_indexes,Medium
query_3,5,20.016,High Memory,single_column_indexes,Medium
query_3,6,20.117,High Memory,single_column_indexes,Medium
query_3,7,19.851,High Memory,single_column_indexes,Medium
query_3,8,19.558,High Memory,single_column_indexes,Medium
query_3,9,20.198,High Memory,single_column_indexes,Medium
query_3,10,19.718,High Memory,single_column_indexes,Medium
query_3,11,19.649,High Memory,single_column_indexes,Medium
query_3,12,19.994,High Memory,single_column_indexes,Medium
query_3,13,19.377,High Memory,single_column_indexes,Medium
query_3,14,19.79,High Memory,single_column_indexes,Medium
query_3,15,19.328,High Memory,single_column_indexes,Medium
query_3,16,19.63,High Memory,single_column_indexes,Medium
query_3,17,19.494,High Memory,single_column_indexes,Medium
query_3,18,19.339,High Memory,single_column_indexes,Medium
query_3,19,19.71,High Memory,single_column_indexes,Medium
query_3,20,19.933,High Memory,single_column_indexes,Medium
query_3,21,19.353,High Memory,single_column_indexes,Medium
query_3,22,19.745,High Memory,single_column_indexes,Medium
query_3,23,19.849,High Memory,single_column_indexes,Medium
query_3,24,19.711,High Memory,single_column_indexes,Medium
query_3,25,19.803,High Memory,single_column_indexes,Medium
query_3,26,19.867,High Memory,single_column_indexes,Medium
query_3,27,19.756,High Memory,single_column_indexes,Medium
query_3,28,19.539,High Memory,single_column_indexes,Medium
query_3,29,19.831,High Memory,single_column_indexes,Medium
query_3,30,19.484,High Memory,single_column_indexes,Medium
query_4,1,7.705,High Memory,single_column_indexes,Medium
query_4,2,7.578,High Memory,single_column_indexes,Medium
query_4,3,7.594,High Memory,single_column_indexes,Medium
query_4,4,8.01,High Memory,single_column_indexes,Medium
query_4,5,7.987,High Memory,single_column_indexes,Medium
query_4,6,7.351,High Memory,single_column_indexes,Medium
query_4,7,7.523,High Memory,single_column_indexes,Medium
query_4,8,7.471,High Memory,single_column_indexes,Medium
query_4,9,7.569,High Memory,single_column_indexes,Medium
query_4,10,7.368,High Memory,single_column_indexes,Medium
query_4,11,7.582,High Memory,single_column_indexes,Medium
query_4,12,7.475,High Memory,single_column_indexes,Medium
query_4,13,7.529,High Memory,single_column_indexes,Medium
query_4,14,7.573,High Memory,single_column_indexes,Medium
query_4,15,7.404,High Memory,single_column_indexes,Medium
query_4,16,7.631,High Memory,single_column_indexes,Medium
query_4,17,7.632,High Memory,single_column_indexes,Medium
query_4,18,7.594,High Memory,single_column_indexes,Medium
query_4,19,7.425,High Memory,single_column_indexes,Medium
query_4,20,7.784,High Memory,single_column_indexes,Medium
query_4,21,7.67,High Memory,single_column_indexes,Medium
query_4,22,7.428,High Memory,single_column_indexes,Medium
query_4,23,7.69,High Memory,single_column_indexes,Medium
query_4,24,7.605,High Memory,single_column_indexes,Medium
query_4,25,7.729,High Memory,single_column_indexes,Medium
query_4,26,7.913,High Memory,single_column_indexes,Medium
query_4,27,8.027,High Memory,single_column_indexes,Medium
query_4,28,7.702,High Memory,single_column_indexes,Medium
query_4,29,7.264,High Memory,single_column_indexes,Medium
query_4,30,7.452,High Memory,single_column_indexes,Medium
query_5,1,7548.062,High Memory,single_column_indexes,Medium
query_5,2,7509.791,High Memory,single_column_indexes,Medium
query_5,3,7526.82,High Memory,single_column_indexes,Medium
query_5,4,7540.703,High Memory,single_column_indexes,Medium
query_5,5,7507.752,High Memory,single_column_indexes,Medium
query_5,6,7511.238,High Memory,single_column_indexes,Medium
query_5,7,7494.215,High Memory,single_column_indexes,Medium
query_5,8,7497.764,High Memory,single_column_indexes,Medium
query_5,9,7484.482,High Memory,single_column_indexes,Medium
query_5,10,7562.232,High Memory,single_column_indexes,Medium
query_5,11,7515.908,High Memory,single_column_indexes,Medium
query_5,12,7544.213,High Memory,single_column_indexes,Medium
query_5,13,7498.384,High Memory,single_column_indexes,Medium
query_5,14,7472.1,High Memory,single_column_indexes,Medium
query_5,15,7547.629,High Memory,single_column_indexes,Medium
query_5,16,7508.234,High Memory,single_column_indexes,Medium
query_5,17,7543.441,High Memory,single_column_indexes,Medium
query_5,18,7473.525,High Memory,single_column_indexes,Medium
query_5,19,7455.534,High Memory,single_column_indexes,Medium
query_5,20,7542.409,High Memory,single_column_indexes,Medium
query_5,21,7477.036,High Memory,single_column_indexes,Medium
query_5,22,7485.607,High Memory,single_column_indexes,Medium
query_5,23,7536.281,High Memory,single_column_indexes,Medium
query_5,24,7512.046,High Memory,single_column_indexes,Medium
query_5,25,7606.173,High Memory,single_column_indexes,Medium
query_5,26,7628.272,High Memory,single_column_indexes,Medium
query_5,27,7489.401,High Memory,single_column_indexes,Medium
query_5,28,7523.957,High Memory,single_column_indexes,Medium
query_5,29,7512.046,High Memory,single_column_indexes,Medium
query_5,30,7512.853,High Memory,single_column_indexes,Medium
query_6,1,3782.025,High Memory,single_column_indexes,Medium
query_6,2,3778.465,High Memory,single_column_indexes,Medium
query_6,3,3787.366,High Memory,single_column_indexes,Medium
query_6,4,3772.176,High Memory,single_column_indexes,Medium
query_6,5,3765.836,High Memory,single_column_indexes,Medium
query_6,6,3796.767,High Memory,single_column_indexes,Medium
query_6,7,3789.963,High Memory,single_column_indexes,Medium
query_6,8,3780.032,High Memory,single_column_indexes,Medium
query_6,9,3774.997,High Memory,single_column_indexes,Medium
query_6,10,3774.47,High Memory,single_column_indexes,Medium
